adjective,mean_prob,std_prob,rank
insightful,1.1851081848144531,1.2441878907763322,1
anxious,0.8262892532348632,0.9388335811513329,2
slowed,0.4757881164550781,0.7770245281987352,3
confused,0.40104084014892577,0.7800162438156452,4
restless,0.39699722290039063,1.1093479300529407,5
distracted,0.26688613891601565,0.801758571922154,6
attentive,0.18235305786132813,0.5329007461305559,7
depressed,0.17117359161376952,1.1650340649283881,8
calm,0.16894113540649414,1.2976202326504016,9
logical,0.15296371459960936,0.9749922505800611,10
impulsive,0.00782696709036827,0.2779747899294933,11
irritable,-0.008725470446515829,0.4937073535874718,12
guarded,-0.20533889770507813,0.9883530571203468,13
unkempt,-0.34416370535345775,0.23058363325420048,14
cooperative,-0.3986021423339844,1.0040131963681374,15
tangential,-0.48474074602127076,0.32850361311417664,16
oriented,-0.8703648376464844,0.5289099287700975,17
paranoid,-1.0591632843017578,1.0857204027154677,18
coherent,-1.0706208801269532,1.070831840506584,19
neat,-2.2415736389160155,0.8166211356818669,20
