adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
depressed,0.00035120031330734494,-0.007556855713676972,-0.007908056026984318,0.007908056026984318
confused,0.0037441834220145313,-0.001433106751840872,-0.005177290173855403,0.005177290173855403
anxious,0.0022510443775293726,-0.0003701342044708629,-0.0026211785820002354,0.0026211785820002354
calm,5.8969974634237585e-05,-0.00033806936019876353,-0.00039703933483300113,0.00039703933483300113
paranoid,-0.0007017791077588401,-0.0008119855222402193,-0.00011020641448137919,0.00011020641448137919
insightful,9.024263246828923e-05,6.843603366885671e-06,-8.339902910140356e-05,8.339902910140356e-05
attentive,1.9020539242167918e-05,8.441263521995603e-05,6.539209597778811e-05,6.539209597778811e-05
coherent,-0.00015122731628354006,-0.00011098615579814779,4.0241160485392265e-05,4.0241160485392265e-05
distracted,2.5127445987891405e-05,-4.267316504006481e-06,-2.9394762491897885e-05,2.9394762491897885e-05
restless,1.9407305498033465e-05,4.2803587655523896e-05,2.339628215749043e-05,2.339628215749043e-05
cooperative,2.0692295917494144e-06,-1.914302091891942e-05,-2.1212250510668835e-05,2.1212250510668835e-05
oriented,-8.250153492655146e-06,1.0044353399886556e-05,1.8294506892541702e-05,1.8294506892541702e-05
logical,7.283086647981286e-07,9.64550538305452e-06,8.917196718256391e-06,8.917196718256391e-06
guarded,-2.543760087721441e-06,2.6493008989645103e-06,5.193060986685951e-06,5.193060986685951e-06
slowed,1.1781996220684556e-06,4.354408817006414e-06,3.1762091949379584e-06,3.1762091949379584e-06
neat,-7.264725597748464e-06,-4.947720494088673e-06,2.3170051036597916e-06,2.3170051036597916e-06
