adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
neat,-2.2464605416191947,-1.2029645029703777,1.043496038648817,1.043496038648817
oriented,-0.8419429567125108,0.17908064948187935,1.0210236061943903,1.0210236061943903
depressed,0.15613680203755698,-0.7870027446746826,-0.9431395467122395,0.9431395467122395
insightful,0.9469742478264702,0.062274144490559895,-0.8847001033359103,0.8847001033359103
slowed,0.26782592349582246,1.1339385392930772,0.8661126157972547,0.8661126157972547
attentive,0.14562947167290582,0.9484106021457248,0.802781130472819,0.802781130472819
confused,0.295403470993042,-0.41053219265407986,-0.7059356636471219,0.7059356636471219
coherent,-1.2967404238382976,-0.6564316876729329,0.6403087361653647,0.6403087361653647
anxious,0.7769512229495579,0.252607454723782,-0.5243437682257759,0.5243437682257759
paranoid,-1.2583882586161295,-1.776426453060574,-0.5180381944444445,0.5180381944444445
guarded,-0.2589012697007921,0.20721673753526476,0.46611800723605684,0.46611800723605684
logical,-0.045073822869194875,0.309633797539605,0.3547076204087999,0.3547076204087999
calm,-0.3156090111202664,-0.6193815104166667,-0.30377249929640027,0.30377249929640027
restless,-0.1505220243665907,0.1465603870815701,0.29708241144816083,0.29708241144816083
unkempt,-0.4096473818694641,-0.16228157404527235,0.24736580782419174,0.24736580782419174
impulsive,0.0352009510083331,-0.1299519021809101,-0.1651528531892432,0.1651528531892432
cooperative,-0.4232155058119032,-0.27237205293443467,0.15084345287746853,0.15084345287746853
distracted,0.037923785315619574,-0.06663410186767578,-0.10455788718329535,0.10455788718329535
irritable,-0.12450805672069287,-0.22579963909242198,-0.10129158237172911,0.10129158237172911
tangential,-0.4155701004134284,-0.49140841629770066,-0.07583831588427226,0.07583831588427226
