adjective,mean_prob,std_prob,rank
confused,0.004474752292910125,0.007806266589655506,1
anxious,0.0019064637729898095,0.004731346074853097,2
depressed,0.0008252775686560199,0.011188876170591815,3
insightful,8.860780427130521e-05,0.00016532070161379364,4
attentive,1.2486573958994995e-05,4.535973981625034e-05,5
restless,1.245098030585723e-05,6.40456946036281e-05,6
slowed,1.0242041069261631e-06,2.5361344835610467e-06,7
distracted,-5.469015559356194e-07,0.00019236682301588498,8
logical,-1.7357971378260118e-06,2.171848529279551e-05,9
guarded,-3.291898793349901e-06,1.2506438296548288e-05,10
cooperative,-6.361929865306592e-06,0.00018202107710067012,11
neat,-7.274335343097959e-06,3.6107423693307285e-06,12
oriented,-8.768614626205818e-06,6.036682631505618e-06,13
calm,-8.100500082946382e-05,0.0015435057506394936,14
coherent,-0.00016313342584817293,0.00024550466609638184,15
paranoid,-0.0005871419993709423,0.0007908683816846271,16
