adjective,sae_mean,aae_mean,delta_aae_minus_sae,abs_delta
depressed,-2.586388888888889,0.21777777777777776,2.8041666666666667,2.8041666666666667
logical,-3.5475,-0.8080555555555555,2.7394444444444446,2.7394444444444446
calm,-5.776875,-3.1309027777777776,2.645972222222223,2.645972222222223
neat,-3.6825,-1.0563888888888888,2.6261111111111113,2.6261111111111113
coherent,-1.8389023166232639,0.286710205078125,2.125612521701389,2.125612521701389
anxious,-1.5305555555555554,-0.043263888888888886,1.4872916666666665,1.4872916666666665
confused,-2.9295833333333334,-1.478611111111111,1.4509722222222223,1.4509722222222223
paranoid,-2.6195290425971685,-1.2813800234264796,1.3381490191706888,1.3381490191706888
slowed,-2.611666666666667,-1.3219444444444444,1.2897222222222224,1.2897222222222224
tangential,-2.7754296875,-1.8569574652777778,0.9184722222222221,0.9184722222222221
cooperative,-2.5687911139594184,-1.6609498426649305,0.9078412712944879,0.9078412712944879
impulsive,-2.257463604962385,-1.4677372911241315,0.7897263138382535,0.7897263138382535
attentive,-1.3302481291029178,-0.6345650284378612,0.6956831006650566,0.6956831006650566
restless,-2.1947959730360243,-1.5573430718315973,0.637452901204427,0.637452901204427
irritable,-2.6026674058702257,-1.9916360134548612,0.6110313924153645,0.6110313924153645
insightful,-0.224112794664171,0.37705700344509546,0.6011697981092665,0.6011697981092665
oriented,-1.8198972574869792,-1.2292645941840277,0.5906326633029515,0.5906326633029515
distracted,-2.56115019692315,-1.9988624742296006,0.5622877226935492,0.5622877226935492
unkempt,-1.4578098353633175,-1.055814680876555,0.4019951544867626,0.4019951544867626
guarded,-2.047771267361111,-1.9471345350477431,0.1006367323133679,0.1006367323133679
